distillery,region,lat,long,releases,median_price,avg_points
Miltonduff,Speyside,57.623804,-3.3687340000000003,9,113,86
Mortlach,Speyside,57.443185,-3.1223940000000003,31,150,88.45161290322581
North British,Lowland,55.940521,-3.235011,2,93.5,84.5
Oban,Highland,56.414818999999994,-5.472292000000001,11,80,87.54545454545455
Pittyvaich,Speyside,57.436733000000004,-3.1326619999999994,4,424.5,90
Pulteney,Highland,58.43556,-3.084625,27,90,87.03703703703704
Raasay,Island,57.35190699999999,-6.073697000000001,2,70,82.5
Rosebank,Lowland,56.002239,-3.8050499999999996,13,100,85
Royal Brackla,Highland,57.540051,-3.905598,7,100,87
Scapa,Island,58.963611,-2.985,8,73.5,87
Speyburn,Speyside,57.536645,-3.2158479999999994,6,63,86.66666666666667
Springbank,Campbeltown,55.42655200000001,-5.608502,40,109,88.15
Strathisla,Speyside,57.547258,-2.9544569999999997,12,202.5,89
Strathmill,Speyside,57.539663999999995,-2.961631,1,475,84
Talisker,Island,57.302331,-6.356738,32,113.5,87.9375
Tamdhu,Speyside,57.459422999999994,-3.353561,9,90,87.77777777777777
Tamnavulin,Speyside,57.317730999999995,-3.307641,3,50,86.66666666666667
Teaninich,Highland,57.691689,-4.260523,3,310,85.66666666666667
Tobermory,Island,56.620768000000005,-6.0697600000000005,14,75,85.92857142857143
Tomatin,Highland,57.339458,-4.010019,35,95,85.65714285714286
Tomintoul,Speyside,57.312259999999995,-3.4127759999999996,22,122.5,87.72727272727273
Tormore,Speyside,57.39811400000001,-3.408553,8,114,84.125
Tullibardine,Highland,56.257560999999995,-3.786222,18,75,84.66666666666667
Wolfburn,Highland,58.59559600000001,-3.5508569999999997,2,70.5,83.5
